SPECIES_TYPE,DATA_SOURCE,TXP,VARIANT_CLASS,CANCER_TYPE,ANY_REGION_DUPLICATED,PYCLONECLONAL_SC,OVERALL_TIMING,SPECIES,SCORE_THRESHOLD,DRIVERMUT,MUTANT_EXPRESSED,NUM_MUTS,NUM_ROWS
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.10.25.10_45878_1autL02,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.10.50.10_7726_2x10A03,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.10.50.10_7726_2x10A03,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.10.60.10_3160_1cdqA00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.10.70.10_16788_3t5oA04,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.10.70.10_17214_2ehfA00,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.110.10.10_1526_1qhuA01,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.120.10.30_32966_3fvzA00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.120.10.30_33068_3s2kA01,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.120.10.30_33208_1v04A00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.130.10.10_102560_1gxrA00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.130.10.10_102602_4yvdA01,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.130.10.10_102735_2pm9A01,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.130.10.10_102735_2pm9A01,,,TRUE,2,2
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.130.10.10_102892_4kfmB00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.130.10.10_103075_4ci8A01,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.130.10.10_103105_4j0wA00,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.130.10.10_103134_3mmyA00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.130.10.10_103486_1q47A00,,,FALSE,8,8
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.130.10.10_103486_1q47A00,,,TRUE,3,3
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.130.10.10_103486_1q47A00,,,,4,4
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.130.10.10_103642_1p22A02,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.130.10.10_103908_1shyB01,,TRUE,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.130.10.10_103908_1shyB01,,,TRUE,3,3
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.130.10.10_28385_4lg8A00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.130.10.110_173_2xzgA00,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.130.10.130_8356_1jv2A01,,,FALSE,4,4
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.130.10.130_8356_1jv2A01,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.130.10.130_8356_1jv2A01,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.170.11.10_199_1a31A02,,,FALSE,1,1
